speaker,lemma,pos,count,total_nouns_speaker,rel_freq
Chandler Bing,guy,NOUN,286,13432,0.021292435973793926
Chandler Bing,joey,PROPN,229,13432,0.01704883859440143
Chandler Bing,thing,NOUN,229,13432,0.01704883859440143
Chandler Bing,monica,PROPN,208,13432,0.015485407980941036
Chandler Bing,time,NOUN,206,13432,0.015336509827278142
Chandler Bing,ross,PROPN,179,13432,0.013326384752829065
Chandler Bing,man,NOUN,155,13432,0.011539606908874329
Chandler Bing,way,NOUN,141,13432,0.010497319833234068
Chandler Bing,people,NOUN,95,13432,0.007072662298987492
Chandler Bing,woman,NOUN,93,13432,0.006923764145324598
Chandler Bing,year,NOUN,92,13432,0.00684931506849315
Chandler Bing,night,NOUN,88,13432,0.006551518761167362
Chandler Bing,girl,NOUN,80,13432,0.005955926146515783
Chandler Bing,room,NOUN,80,13432,0.005955926146515783
Chandler Bing,thank,NOUN,80,13432,0.005955926146515783
Chandler Bing,day,NOUN,77,13432,0.005732578916021441
Chandler Bing,friend,NOUN,77,13432,0.005732578916021441
Chandler Bing,baby,NOUN,74,13432,0.005509231685527099
Chandler Bing,rachel,PROPN,72,13432,0.005360333531864205
Chandler Bing,joe,PROPN,70,13432,0.00521143537820131
Chandler Bing,chandler,PROPN,69,13432,0.005136986301369863
Chandler Bing,phoebe,PROPN,65,13432,0.0048391899940440734
Chandler Bing,place,NOUN,65,13432,0.0048391899940440734
Chandler Bing,game,NOUN,64,13432,0.004764740917212627
Chandler Bing,stuff,NOUN,64,13432,0.004764740917212627
Chandler Bing,minute,NOUN,61,13432,0.004541393686718285
Chandler Bing,life,NOUN,59,13432,0.00439249553305539
Chandler Bing,honey,NOUN,55,13432,0.004094699225729601
Chandler Bing,kid,NOUN,54,13432,0.004020250148898154
Chandler Bing,money,NOUN,54,13432,0.004020250148898154
Joey Tribbiani,guy,NOUN,401,13424,0.029871871275327772
Joey Tribbiani,ross,PROPN,342,13424,0.025476758045292015
Joey Tribbiani,chandler,PROPN,222,13424,0.016537544696066747
Joey Tribbiani,man,NOUN,218,13424,0.01623957091775924
Joey Tribbiani,thing,NOUN,201,13424,0.014973182359952325
Joey Tribbiani,time,NOUN,154,13424,0.011471990464839094
Joey Tribbiani,friend,NOUN,129,13424,0.009609654350417163
Joey Tribbiani,monica,PROPN,129,13424,0.009609654350417163
Joey Tribbiani,rachel,PROPN,126,13424,0.009386174016686531
Joey Tribbiani,day,NOUN,120,13424,0.008939213349225268
Joey Tribbiani,rach,PROPN,111,13424,0.008268772348033374
Joey Tribbiani,joey,PROPN,110,13424,0.008194278903456496
Joey Tribbiani,woman,NOUN,110,13424,0.008194278903456496
Joey Tribbiani,thank,NOUN,106,13424,0.007896305125148988
Joey Tribbiani,baby,NOUN,105,13424,0.00782181168057211
Joey Tribbiani,stuff,NOUN,102,13424,0.007598331346841478
Joey Tribbiani,way,NOUN,102,13424,0.007598331346841478
Joey Tribbiani,girl,NOUN,95,13424,0.007076877234803337
Joey Tribbiani,pheebs,PROPN,92,13424,0.0068533969010727055
Joey Tribbiani,phoebe,PROPN,83,13424,0.006182955899880811
Joey Tribbiani,people,NOUN,76,13424,0.00566150178784267
Joey Tribbiani,night,NOUN,75,13424,0.005587008343265793
Joey Tribbiani,place,NOUN,67,13424,0.004991060786650774
Joey Tribbiani,life,NOUN,57,13424,0.0042461263408820026
Joey Tribbiani,minute,NOUN,56,13424,0.004171632896305125
Joey Tribbiani,hand,NOUN,55,13424,0.004097139451728248
Joey Tribbiani,audition,NOUN,51,13424,0.003799165673420739
Joey Tribbiani,year,NOUN,51,13424,0.003799165673420739
Joey Tribbiani,actor,NOUN,50,13424,0.003724672228843862
Joey Tribbiani,room,NOUN,49,13424,0.0036501787842669847
Monica Geller,guy,NOUN,309,12198,0.025332021642892277
Monica Geller,chandler,PROPN,299,12198,0.024512215117232332
Monica Geller,phoebe,PROPN,245,12198,0.020085259878668636
Monica Geller,joey,PROPN,238,12198,0.019511395310706673
Monica Geller,ross,PROPN,218,12198,0.017871782259386786
Monica Geller,rachel,PROPN,200,12198,0.016396130513198885
Monica Geller,time,NOUN,190,12198,0.01557632398753894
Monica Geller,thing,NOUN,166,12198,0.013608788325955074
Monica Geller,baby,NOUN,135,12198,0.011067388096409248
Monica Geller,way,NOUN,111,12198,0.00909985243482538
Monica Geller,honey,NOUN,103,12198,0.008444007214297425
Monica Geller,minute,NOUN,99,12198,0.008116084604033447
Monica Geller,people,NOUN,98,12198,0.008034103951467454
Monica Geller,friend,NOUN,93,12198,0.0076242006886374815
Monica Geller,day,NOUN,83,12198,0.006804394162977537
Monica Geller,wedding,NOUN,75,12198,0.006148548942449582
Monica Geller,stuff,NOUN,71,12198,0.005820626332185604
Monica Geller,rach,PROPN,70,12198,0.005738645679619609
Monica Geller,night,NOUN,69,12198,0.005656665027053615
Monica Geller,monica,PROPN,66,12198,0.0054107230693556324
Monica Geller,place,NOUN,57,12198,0.004672897196261682
Monica Geller,year,NOUN,56,12198,0.004590916543695688
Monica Geller,girl,NOUN,55,12198,0.004508935891129693
Monica Geller,room,NOUN,55,12198,0.004508935891129693
Monica Geller,tonight,NOUN,55,12198,0.004508935891129693
Monica Geller,work,NOUN,55,12198,0.004508935891129693
Monica Geller,job,NOUN,54,12198,0.004426955238563699
Monica Geller,sex,NOUN,50,12198,0.004099032628299721
Monica Geller,woman,NOUN,49,12198,0.004017051975733727
Monica Geller,dinner,NOUN,48,12198,0.003935071323167732
Phoebe Buffay,guy,NOUN,334,11906,0.02805308247942214
Phoebe Buffay,ross,PROPN,191,11906,0.016042331597513858
Phoebe Buffay,monica,PROPN,181,11906,0.015202418948429363
Phoebe Buffay,joey,PROPN,162,11906,0.013606584915168822
Phoebe Buffay,time,NOUN,162,11906,0.013606584915168822
Phoebe Buffay,rachel,PROPN,159,11906,0.013354611120443474
Phoebe Buffay,thing,NOUN,157,11906,0.013186628590626574
Phoebe Buffay,chandler,PROPN,151,11906,0.012682681001175878
Phoebe Buffay,friend,NOUN,100,11906,0.008399126490844951
Phoebe Buffay,people,NOUN,100,11906,0.008399126490844951
Phoebe Buffay,way,NOUN,92,11906,0.007727196371577356
Phoebe Buffay,baby,NOUN,90,11906,0.007559213841760457
Phoebe Buffay,phoebe,PROPN,81,11906,0.006803292457584411
Phoebe Buffay,day,NOUN,79,11906,0.006635309927767512
Phoebe Buffay,mike,PROPN,77,11906,0.006467327397950613
Phoebe Buffay,thank,NOUN,67,11906,0.005627414748866118
Phoebe Buffay,stuff,NOUN,65,11906,0.005459432219049219
Phoebe Buffay,woman,NOUN,57,11906,0.004787502099781623
Phoebe Buffay,night,NOUN,55,11906,0.004619519569964724
Phoebe Buffay,man,NOUN,54,11906,0.004535528305056274
Phoebe Buffay,year,NOUN,53,11906,0.0044515370401478245
Phoebe Buffay,money,NOUN,48,11906,0.004031580715605577
Phoebe Buffay,life,NOUN,46,11906,0.003863598185788678
Phoebe Buffay,fun,NOUN,45,11906,0.0037796069208802284
Phoebe Buffay,girl,NOUN,44,11906,0.003695615655971779
Phoebe Buffay,mom,NOUN,44,11906,0.003695615655971779
Phoebe Buffay,place,NOUN,43,11906,0.003611624391063329
Phoebe Buffay,massage,NOUN,41,11906,0.0034436418612464304
Phoebe Buffay,wedding,NOUN,41,11906,0.0034436418612464304
Phoebe Buffay,frank,PROPN,40,11906,0.0033596505963379808
Rachel Green,ross,PROPN,539,13609,0.03960614299360717
Rachel Green,guy,NOUN,405,13609,0.029759717833786465
Rachel Green,joey,PROPN,336,13609,0.024689543684326548
Rachel Green,monica,PROPN,232,13609,0.017047542067749284
Rachel Green,thing,NOUN,230,13609,0.01690058049819972
Rachel Green,phoebe,PROPN,202,13609,0.014843118524505842
Rachel Green,time,NOUN,200,13609,0.01469615695495628
Rachel Green,honey,NOUN,178,13609,0.013079579689911087
Rachel Green,chandler,PROPN,153,13609,0.011242560070541554
Rachel Green,baby,NOUN,129,13609,0.0094790212359468
Rachel Green,night,NOUN,114,13609,0.008376809464325079
Rachel Green,way,NOUN,114,13609,0.008376809464325079
Rachel Green,pheebs,PROPN,107,13609,0.00786244397090161
Rachel Green,people,NOUN,96,13609,0.0070541553383790135
Rachel Green,minute,NOUN,92,13609,0.006760232199279888
Rachel Green,day,NOUN,78,13609,0.005731501212432949
Rachel Green,friend,NOUN,76,13609,0.005584539642883386
Rachel Green,year,NOUN,75,13609,0.005511058858108604
Rachel Green,stuff,NOUN,74,13609,0.005437578073333824
Rachel Green,girl,NOUN,73,13609,0.005364097288559042
Rachel Green,rachel,PROPN,73,13609,0.005364097288559042
Rachel Green,job,NOUN,71,13609,0.005217135719009479
Rachel Green,emma,PROPN,70,13609,0.0051436549342346975
Rachel Green,date,NOUN,65,13609,0.004776251010360791
Rachel Green,woman,NOUN,61,13609,0.004482327871261665
Rachel Green,apartment,NOUN,60,13609,0.004408847086486884
Rachel Green,man,NOUN,57,13609,0.0041884047321625395
Rachel Green,mon,PROPN,52,13609,0.0038210008082886324
Rachel Green,today,NOUN,52,13609,0.0038210008082886324
Rachel Green,phone,NOUN,51,13609,0.0037475200235138513
Ross Geller,guy,NOUN,421,14380,0.029276773296244785
Ross Geller,rachel,PROPN,244,14380,0.016968011126564674
Ross Geller,thing,NOUN,234,14380,0.016272600834492352
Ross Geller,time,NOUN,207,14380,0.01439499304589708
Ross Geller,joey,PROPN,184,14380,0.012795549374130737
Ross Geller,rach,PROPN,151,14380,0.010500695410292072
Ross Geller,monica,PROPN,149,14380,0.010361613351877607
Ross Geller,chandler,PROPN,145,14380,0.010083449235048678
Ross Geller,way,NOUN,137,14380,0.009527121001390821
Ross Geller,people,NOUN,127,14380,0.008831710709318498
Ross Geller,man,NOUN,120,14380,0.008344923504867872
Ross Geller,baby,NOUN,111,14380,0.007719054242002782
Ross Geller,friend,NOUN,111,14380,0.007719054242002782
Ross Geller,phoebe,PROPN,101,14380,0.007023643949930459
Ross Geller,year,NOUN,95,14380,0.006606397774687065
Ross Geller,thank,NOUN,94,14380,0.006536856745479833
Ross Geller,ben,PROPN,93,14380,0.006467315716272601
Ross Geller,stuff,NOUN,87,14380,0.0060500695410292075
Ross Geller,night,NOUN,85,14380,0.005910987482614743
Ross Geller,ross,PROPN,81,14380,0.0056328233657858134
Ross Geller,day,NOUN,80,14380,0.005563282336578581
Ross Geller,minute,NOUN,79,14380,0.005493741307371349
Ross Geller,woman,NOUN,76,14380,0.005285118219749653
Ross Geller,pheebs,PROPN,74,14380,0.005146036161335188
Ross Geller,place,NOUN,71,14380,0.004937413073713491
Ross Geller,carol,PROPN,61,14380,0.004242002781641168
Ross Geller,tonight,NOUN,61,14380,0.004242002781641168
Ross Geller,life,NOUN,60,14380,0.004172461752433936
Ross Geller,girl,NOUN,57,14380,0.003963838664812239
Ross Geller,emily,PROPN,56,14380,0.003894297635605007
